通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
ZAR/JPY	YJFX!(外貨ex)	FXプライム(選べる外貨)	14	-9	5	48.875855327468	98
ZAR/JPY	YJFX!(外貨ex)	DMM FX	14	-10	4	39.100684261975	82.5
ZAR/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	12	-9	3	29.325513196481	100
AUD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	72	-46	26	27.840239854374	4.6153846153846
AUD/USD	ライブスター証券	YJFX!(外貨ex)	68	-42	26	27.840239854374	21.066407692308
AUD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	72	-47	25	26.769461398437	8.4
AUD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	72	-47	25	26.769461398437	7.2
AUD/USD	ライブスター証券	DMM FX	68	-45	23	24.627904486562	19.6726
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	0	29	29	22.866514748902	26.206896551724
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	0	29	29	22.866514748902	21.379310344828
NZD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	90	-72	18	20.093322319216	19.444444444444
NZD/JPY	JFX	FXプライム(選べる外貨)	90	-72	18	20.093322319216	19.444444444444
NZD/JPY	ライブスター証券	FXプライム(選べる外貨)	90	-72	18	20.093322319216	31.111111111111
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	0	25	25	19.712512714571	29.6
CHF/JPY	マネーパートナーズ(パートナーズFX)	外為オンライン	0	25	25	19.712512714571	35.2
ZAR/JPY	サクソバンクFX(FX CHOICE)	DMM FX	12	-10	2	19.550342130987	70
AUD/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	72	-54	18	19.274012206874	22.777777777778
AUD/USD	ライブスター証券	FXプライム(直トレFX)	68	-50	18	19.274012206874	29.106244444444
AUD/USD	ライブスター証券	FXプライム(選べる外貨)	68	-50	18	19.274012206874	37.044311111111
EUR/JPY	JFX	みんなのFX	20	6	26	19.189324830986	5.3846153846154
EUR/JPY	ヒロセ通商(LION FX)	みんなのFX	20	6	26	19.189324830986	5.7692307692308
AUD/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	72	-55	17	18.203233750937	32.352941176471
AUD/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	72	-55	17	18.203233750937	7.0588235294118
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	-6	29	23	18.135511697405	38.260869565217
CAD/JPY	ライブスター証券	DMM FX	27	-10	17	17.89850494841	28.235294117647
NZD/JPY	YJFX!(外貨ex)	FXプライム(選べる外貨)	88	-72	16	17.860730950414	23.75
NZD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	88	-72	16	17.860730950414	31.25
AUD/USD	ライブスター証券	みんなのFX	68	-52	16	17.132455294999	19.3490375
AUD/JPY	ライブスター証券	DMM FX	62	-46	16	17.132455294999	24.375
AUD/USD	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	58	-42	16	17.132455294999	29.76775
EUR/JPY	JFX	GMOクリック証券(FXネオ)	20	3	23	16.975171965873	6.0869565217391
EUR/JPY	ヒロセ通商(LION FX)	GMOクリック証券(FXネオ)	20	3	23	16.975171965873	6.5217391304348
NZD/JPY	JFX	DMM FX	90	-75	15	16.744435266013	20
NZD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	87	-72	15	16.744435266013	33.333333333333
NZD/JPY	サクソバンクFX(スタンダード)	FXプライム(選べる外貨)	87	-72	15	16.744435266013	46.666666666667
NZD/JPY	ヒロセ通商(LION FX)	DMM FX	90	-75	15	16.744435266013	20
NZD/JPY	ライブスター証券	DMM FX	90	-75	15	16.744435266013	34
AUD/JPY	ライブスター証券	FXプライム(選べる外貨)	62	-47	15	16.061676839062	30
AUD/JPY	ライブスター証券	FXプライム(直トレFX)	62	-47	15	16.061676839062	32
CAD/JPY	ライブスター証券	FXブロードネット	27	-12	15	15.792798483891	52.666666666667
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	86	-72	14	15.628139581612	28.571428571429
EUR/JPY	JFX	外為オンライン	20	1	21	15.499070055797	13.333333333333
EUR/JPY	ヒロセ通商(LION FX)	外為オンライン	20	1	21	15.499070055797	13.809523809524
AUD/USD	GMOクリック証券(FXネオ)	YJFX!(外貨ex)	56	-42	14	14.990898383125	27.216228571429
AUD/JPY	FXトレード・フィナンシャル(高速FX)	マネーパートナーズ(パートナーズFX nano)	72	-58	14	14.990898383125	10.714285714286
AUD/USD	FXブロードネット	YJFX!(外貨ex)	56	-42	14	14.990898383125	33.169778571429
CHF/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	-6	25	19	14.981509663074	52.631578947368
CHF/JPY	YJFX!(外貨ex)	FXブロードネット	-10	29	19	14.981509663074	32.631578947368
EUR/JPY	JFX	FXブロードネット	20	0	20	14.761019100759	8
EUR/JPY	ヒロセ通商(LION FX)	サクソバンクFX(スタンダード)	20	0	20	14.761019100759	12
EUR/JPY	ヒロセ通商(LION FX)	サクソバンクFX(FX CHOICE)	20	0	20	14.761019100759	12
EUR/JPY	JFX	サクソバンクFX(スタンダード)	20	0	20	14.761019100759	11.5
EUR/JPY	JFX	サクソバンクFX(FX CHOICE)	20	0	20	14.761019100759	11.5
EUR/JPY	ヒロセ通商(LION FX)	FXブロードネット	20	0	20	14.761019100759	8.5
NZD/JPY	YJFX!(外貨ex)	DMM FX	88	-75	13	14.511843897211	25.384615384615
NZD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	88	-75	13	14.511843897211	34.615384615385
USD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	18	-1	17	14.277195958714	6.4705882352941
CHF/JPY	ライブスター証券	FXブロードネット	-11	29	18	14.193009154491	38.888888888889
EUR/JPY	ヒロセ通商(LION FX)	マネーパートナーズ(パートナーズFX nano)	20	-1	19	14.022968145721	8.4210526315789
EUR/JPY	JFX	マネーパートナーズ(パートナーズFX nano)	20	-1	19	14.022968145721	7.8947368421053
AUD/USD	FXトレード・フィナンシャル(高速FX)	DMM FX	58	-45	13	13.920119927187	29.309784615385
AUD/USD	外為オンライン	YJFX!(外貨ex)	55	-42	13	13.920119927187	36.637230769231
AUD/JPY	YJFX!(外貨ex)	DMM FX	59	-46	13	13.920119927187	12.307692307692
CAD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	23	-10	13	13.687092019372	51.538461538462
NZD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	87	-75	12	13.395548212811	37.5
NZD/JPY	サクソバンクFX(スタンダード)	DMM FX	87	-75	12	13.395548212811	54.166666666667
EUR/JPY	ヒロセ通商(LION FX)	DMM FX	20	-2	18	13.284917190683	8.3333333333333
EUR/JPY	JFX	DMM FX	20	-2	18	13.284917190683	7.7777777777778
AUD/USD	ライブスター証券	JFX	68	-56	12	12.84934147125	37.705816666667
AUD/USD	ライブスター証券	ヒロセ通商(LION FX)	68	-56	12	12.84934147125	37.705816666667
AUD/JPY	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	72	-60	12	12.84934147125	11.666666666667
AUD/JPY	YJFX!(外貨ex)	FXプライム(直トレFX)	59	-47	12	12.84934147125	20.833333333333
AUD/JPY	YJFX!(外貨ex)	FXプライム(選べる外貨)	59	-47	12	12.84934147125	18.333333333333
AUD/JPY	FXトレード・フィナンシャル(高速FX)	みんなのFX	72	-60	12	12.84934147125	10
CAD/JPY	YJFX!(外貨ex)	DMM FX	22	-10	12	12.634238787113	34.166666666667
EUR/JPY	JFX	YJFX!(外貨ex)	20	-3	17	12.546866235645	10.588235294118
EUR/JPY	ヒロセ通商(LION FX)	YJFX!(外貨ex)	20	-3	17	12.546866235645	11.176470588235
NZD/JPY	ライブスター証券	FXブロードネット	90	-79	11	12.27925252841	76.363636363636
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	86	-75	11	12.27925252841	31.818181818182
NZD/JPY	ヒロセ通商(LION FX)	FXブロードネット	90	-79	11	12.27925252841	57.272727272727
NZD/JPY	JFX	FXブロードネット	90	-79	11	12.27925252841	57.272727272727
GBP/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	37	-15	22	12.001331056717	9.5454545454545
CHF/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	0	15	15	11.827507628742	37.333333333333
CHF/JPY	YJFX!(外貨ex)	外為オンライン	-10	25	15	11.827507628742	49.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	0	15	15	11.827507628742	28
EUR/USD	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	16	16	11.808815280607	9.67451875
AUD/USD	FXブロードネット	DMM FX	56	-45	11	11.778563015312	33.556372727273
AUD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	57	-46	11	11.778563015312	22.727272727273
AUD/USD	GMOクリック証券(FXネオ)	DMM FX	56	-45	11	11.778563015312	25.979127272727
AUD/JPY	サクソバンクFX(スタンダード)	DMM FX	57	-46	11	11.778563015312	29.090909090909
CAD/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	23	-12	11	11.581385554854	89.090909090909
NZD/JPY	ヒロセ通商(LION FX)	GMOクリック証券(FXネオ)	90	-80	10	11.162956844009	30
NZD/JPY	JFX	GMOクリック証券(FXネオ)	90	-80	10	11.162956844009	30
NZD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	90	-80	10	11.162956844009	51
EUR/USD	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	15	15	11.070764325569	10.319486666667
CHF/JPY	ライブスター証券	外為オンライン	-11	25	14	11.03900712016	58.571428571429
CHF/JPY	DMM FX	FXブロードネット	-15	29	14	11.03900712016	40
USD/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	18	-5	13	10.917855733134	8.4615384615385
USD/JPY	FXトレード・フィナンシャル(高速FX)	マネーパートナーズ(パートナーズFX nano)	18	-5	13	10.917855733134	8.4615384615385
USD/JPY	FXトレード・フィナンシャル(高速FX)	みんなのFX	18	-5	13	10.917855733134	9.2307692307692
AUD/JPY	JFX	DMM FX	56	-46	10	10.707784559375	16
AUD/JPY	ヒロセ通商(LION FX)	DMM FX	56	-46	10	10.707784559375	16
AUD/JPY	サクソバンクFX(スタンダード)	FXプライム(直トレFX)	57	-47	10	10.707784559375	41
AUD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	57	-47	10	10.707784559375	31
AUD/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	68	-58	10	10.707784559375	54.77266
AUD/JPY	サクソバンクFX(スタンダード)	FXプライム(選べる外貨)	57	-47	10	10.707784559375	38
AUD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(直トレFX)	57	-47	10	10.707784559375	34
AUD/USD	外為オンライン	DMM FX	55	-45	10	10.707784559375	38.10272
CAD/JPY	GMOクリック証券(FXネオ)	DMM FX	20	-10	10	10.528532322594	34
CAD/JPY	YJFX!(外貨ex)	FXブロードネット	22	-12	10	10.528532322594	72
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	20	-10	10	10.528532322594	41
CAD/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	20	-10	10	10.528532322594	55
GBP/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	37	-18	19	10.364785912619	30
EUR/JPY	JFX	ライブスター証券	20	-6	14	10.332713370531	19.285714285714
EUR/USD	ライブスター証券	GMOクリック証券(FXネオ)	-2	16	14	10.332713370531	16.159635714286
EUR/USD	DMM FX	GMOクリック証券(FXネオ)	-2	16	14	10.332713370531	8.5050714285714
EUR/JPY	ヒロセ通商(LION FX)	ライブスター証券	20	-6	14	10.332713370531	20
USD/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	18	-6	12	10.078020676739	9.1666666666667
NZD/JPY	YJFX!(外貨ex)	FXブロードネット	88	-79	9	10.046661159608	73.333333333333
NZD/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	88	-79	9	10.046661159608	86.666666666667
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	56	-47	9	9.6370061034372	24.444444444444
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	56	-47	9	9.6370061034372	27.777777777778
AUD/JPY	JFX	FXプライム(直トレFX)	56	-47	9	9.6370061034372	27.777777777778
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	55	-46	9	9.6370061034372	18.888888888889
AUD/JPY	JFX	FXプライム(選べる外貨)	56	-47	9	9.6370061034372	24.444444444444
EUR/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	-2	15	13	9.5946624154932	17.402684615385
EUR/JPY	FXトレード・フィナンシャル(高速FX)	みんなのFX	7	6	13	9.5946624154932	8.4615384615385
EUR/USD	DMM FX	FXトレード・フィナンシャル(高速FX)	-2	15	13	9.5946624154932	9.1593076923077
EUR/JPY	JFX	FXトレード・フィナンシャル(高速FX)	20	-7	13	9.5946624154932	10
EUR/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	20	-7	13	9.5946624154932	10.769230769231
GBP/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	37	-20	17	9.2737558165542	35.294117647059
NZD/JPY	サクソバンクFX(FX CHOICE)	FXブロードネット	87	-79	8	8.9303654752071	97.5
NZD/JPY	YJFX!(外貨ex)	GMOクリック証券(FXネオ)	88	-80	8	8.9303654752071	41.25
NZD/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	88	-80	8	8.9303654752071	56.25
CHF/JPY	FXプライム(選べる外貨)	FXブロードネット	-18	29	11	8.6735055944111	70.909090909091
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	55	-47	8	8.5662276474997	32.5
AUD/USD	ライブスター証券	GMOクリック証券(FXネオ)	68	-60	8	8.5662276474997	56.558725
AUD/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	58	-50	8	8.5662276474997	56.558725
AUD/JPY	ライブスター証券	FXブロードネット	62	-54	8	8.5662276474997	85
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	55	-47	8	8.5662276474997	28.75
AUD/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	58	-50	8	8.5662276474997	74.419375
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	20	-12	8	8.4228258580754	90
CAD/JPY	GMOクリック証券(FXネオ)	FXブロードネット	20	-12	8	8.4228258580754	81.25
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	20	-12	8	8.4228258580754	107.5
USD/JPY	FXトレード・フィナンシャル(高速FX)	ライブスター証券	18	-8	10	8.3983505639492	17
USD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	18	-8	10	8.3983505639492	14
USD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	18	-8	10	8.3983505639492	15
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	30	-15	15	8.182725720489	19.333333333333
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(FX CHOICE)	0	11	11	8.1185605054173	15.154490909091
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(スタンダード)	0	11	11	8.1185605054173	19.484345454545
EUR/JPY	JFX	FXプライム(選べる外貨)	20	-9	11	8.1185605054173	19.090909090909
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	20	-9	11	8.1185605054173	20.909090909091
EUR/JPY	JFX	FXプライム(直トレFX)	20	-9	11	8.1185605054173	20
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	20	-9	11	8.1185605054173	20
